SCIENTIFIC_NAME	COMMON_NAME	SPECIES_CODE	CATEGORY	TAXON_ORDER	COM_NAME_CODES	SCI_NAME_CODES	BANDING_CODES	ORDER	FAMILY_COM_NAME	FAMILY_SCI_NAME	REPORT_AS	EXTINCT	EXTINCT_YEAR	FAMILY_CODE
Pitangus sulphuratus	Great Kiskadee	grekis	species	17055	GRKI	PISU	GKIS	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Megarynchus pitangua	Boat-billed Flycatcher	bobfly1	species	17066	BBFL	MEPI	BOBF	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Megarynchus pitangua [mexicanus Group]	Boat-billed Flycatcher (Northern)	bobfly3	issf	17067	BBFL BOBF	MEPI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	bobfly1	NA	NA	tyrann2
Megarynchus pitangua pitangua	Boat-billed Flycatcher (South American)	bobfly5	issf	17072	BBFL BOBF	MEPI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	bobfly1	NA	NA	tyrann2
Megarynchus pitangua chrysogaster	Boat-billed Flycatcher (Tumbes)	bobfly4	issf	17073	BBFL BOBF	MEPI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	bobfly1	NA	NA	tyrann2
Myiozetetes cayanensis	Rusty-margined Flycatcher	rumfly1	species	17074	NA	MYCA	RMFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiozetetes similis	Social Flycatcher	socfly1	species	17079	NA	MYSI	SOFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiozetetes similis [texensis Group]	Social Flycatcher (Vermilion-crowned)	socfly3	issf	17080	SOFL	MYSI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	socfly1	NA	NA	tyrann2
Myiozetetes similis [similis Group]	Social Flycatcher (Social)	socfly4	issf	17084	SOFL	MYSI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	socfly1	NA	NA	tyrann2
Myiozetetes similis grandis	Social Flycatcher (Tumbes)	socfly5	issf	17088	SOFL	MYSI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	socfly1	NA	NA	tyrann2
Myiozetetes cayanensis/similis	Rusty-margined/Social Flycatcher	y00798	slash	17089	SOFL RMFL	MYCA MYSI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiozetetes granadensis	Gray-capped Flycatcher	grcfly1	species	17090	GCFL	MYGR	GCAF	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiozetetes luteiventris	Dusky-chested Flycatcher	ducfly2	species	17094	DCFL	MYLU	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiozetetes granadensis/luteiventris	Gray-capped/Dusky-chested Flycatcher	y00799	slash	17097	GCAF DCFL GCFL	MYLU MYGR	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Phelpsia inornata	White-bearded Flycatcher	whbfly1	species	17098	WBFL	PHIN	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Conopias albovittatus	White-ringed Flycatcher	whrfly	species	17099	NA	COAL	WRFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Conopias parvus	Yellow-throated Flycatcher	yetfly2	species	17102	YTFL	COPA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Conopias trivirgatus	Three-striped Flycatcher	thsfly2	species	17103	TSFL	COTR	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Conopias parvus/trivirgatus	Yellow-throated/Three-striped Flycatcher	y00885	slash	17106	YTFL TSFL	COTR COPA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Conopias cinchoneti	Lemon-browed Flycatcher	lebfly2	species	17107	LBFL	COCI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiodynastes hemichrysus	Golden-bellied Flycatcher	gobfly1	species	17110	NA	MYHE	GBFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiodynastes chrysocephalus	Golden-crowned Flycatcher	gocfly1	species	17114	GCFL	MYCH	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiodynastes bairdii	Baird's Flycatcher	baifly1	species	17115	BAFL	MYBA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiodynastes maculatus	Streaked Flycatcher	strfly1	species	17116	STFL NSFL	MYMA	STRF	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiodynastes maculatus [maculatus Group]	Streaked Flycatcher (Northern)	strfly2	issf	17117	STFL STRF NSFL	MYMA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	strfly1	NA	NA	tyrann2
Myiodynastes maculatus solitarius	Streaked Flycatcher (Southern)	strfly3	issf	17124	STFL STRF NSFL	MYMA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	strfly1	NA	NA	tyrann2
Myiodynastes luteiventris	Sulphur-bellied Flycatcher	subfly	species	17125	NA	MYLU	SBFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Myiodynastes maculatus/luteiventris	Streaked/Sulphur-bellied Flycatcher	y00607	slash	17126	STFL STRF SBFL NSFL	MYMA MYLU	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Legatus leucophaius	Piratic Flycatcher	pirfly1	species	17127	PIFL	LELE	PIRF	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Empidonomus varius	Variegated Flycatcher	varfly	species	17130	NA	EMVA	VAFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Empidonomus aurantioatrocristatus	Crowned Slaty Flycatcher	croslf1	species	17133	NA	EMAU	CSFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannopsis sulphurea	Sulphury Flycatcher	sulfly1	species	17136	SUFL	TYSU	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus niveigularis	Snowy-throated Kingbird	sntkin1	species	17137	STKI	TYNI	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus albogularis	White-throated Kingbird	whtkin1	species	17138	WTKI	TYAL	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus melancholicus	Tropical Kingbird	trokin	species	17139	NA	TYME	TRKI	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus albogularis/melancholicus	White-throated/Tropical Kingbird	y00740	slash	17143	WTKI TRKI	TYME TYAL	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus couchii	Couch's Kingbird	coukin	species	17144	NA	TYCO	COKI	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus melancholicus/couchii	Tropical/Couch's Kingbird	y00325	slash	17145	COKI TRKI	TYCO TYME	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus vociferans	Cassin's Kingbird	caskin	species	17146	NA	TYVO	CAKI	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus crassirostris	Thick-billed Kingbird	thbkin	species	17149	NA	TYCR	TBKI	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus verticalis	Western Kingbird	weskin	species	17152	NA	TYVE	WEKI	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus couchii x verticalis	Couch's x Western Kingbird (hybrid)	x01035	hybrid	17153	WEKI COKI	TYCO TYVE	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus vociferans/verticalis	Cassin's/Western Kingbird	y00619	slash	17154	WEKI CAKI	TYVO TYVE	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus sp. (yellow-bellied)	yellow-bellied kingbird sp.	yebkin2	spuh	17155	NA	NA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus tyrannus	Eastern Kingbird	easkin	species	17156	NA	TYTY	EAKI	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus verticalis x tyrannus	Western x Eastern Kingbird (hybrid)	x00718	hybrid	17157	WEKI EAKI	TYTY TYVE	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus dominicensis	Gray Kingbird	grykin	species	17158	GRKI	TYDO	GRAK	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus melancholicus x dominicensis	Tropical x Gray Kingbird (hybrid)	x00859	hybrid	17161	GRAK GRKI TRKI	TYME TYDO	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus caudifasciatus	Loggerhead Kingbird	logkin	species	17162	NA	TYCA	LOKI	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus caudifasciatus [caudifasciatus Group]	Loggerhead Kingbird (Loggerhead)	logkin3	issf	17163	LOKI	TYCA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	logkin	NA	NA	tyrann2
Tyrannus caudifasciatus taylori	Loggerhead Kingbird (Puerto Rico)	logkin1	issf	17169	LOKI	TYCA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	logkin	NA	NA	tyrann2
Tyrannus caudifasciatus gabbii	Loggerhead Kingbird (Hispaniolan)	logkin2	issf	17170	LOKI	TYCA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	logkin	NA	NA	tyrann2
Tyrannus cubensis	Giant Kingbird	giakin1	species	17171	NA	TYCU	GIKI	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus forficatus	Scissor-tailed Flycatcher	sctfly	species	17172	NA	TYFO	STFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus melancholicus x forficatus	Tropical Kingbird x Scissor-tailed Flycatcher (hybrid)	x01036	hybrid	17173	STFL TRKI	TYFO TYME	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus couchii x forficatus	Couch's Kingbird x Scissor-tailed Flycatcher (hybrid)	x00441	hybrid	17174	STFL COKI	TYFO TYCO	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus verticalis x forficatus	Western Kingbird x Scissor-tailed Flycatcher (hybrid)	x00442	hybrid	17175	WEKI STFL	TYFO TYVE	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus savana	Fork-tailed Flycatcher	fotfly	species	17176	NA	TYSA	FTFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus savana savana	Fork-tailed Flycatcher (savana)	fotfly1	issf	17177	FTFL	TYSA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	fotfly	NA	NA	tyrann2
Tyrannus savana monachus	Fork-tailed Flycatcher (monachus)	fotfly2	issf	17178	FTFL	TYSA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	fotfly	NA	NA	tyrann2
Tyrannus savana sanctaemartae	Fork-tailed Flycatcher (sanctaemartae)	fotfly3	issf	17179	FTFL	TYSA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	fotfly	NA	NA	tyrann2
Tyrannus savana circumdatus	Fork-tailed Flycatcher (circumdatus)	fotfly4	issf	17180	FTFL	TYSA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	fotfly	NA	NA	tyrann2
Tyrannus melancholicus x savana	Tropical Kingbird x Fork-tailed Flycatcher (hybrid)	x00408	hybrid	17181	FTFL TRKI	TYSA TYME	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannus sp.	Tyrannus sp.	tyrann1	spuh	17182	NA	NA	NA	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Tyrannidae sp.	new world flycatcher sp.	flycat1	spuh	17183	NA	NA	UNFL	Passeriformes	Tyrant Flycatchers	Tyrannidae	NA	NA	NA	tyrann2
Menura alberti	Albert's Lyrebird	alblyr1	species	17185	ALLY	MEAL	NA	Passeriformes	Lyrebirds	Menuridae	NA	NA	NA	menuri1
Menura novaehollandiae	Superb Lyrebird	suplyr1	species	17186	SULY	MENO	NA	Passeriformes	Lyrebirds	Menuridae	NA	NA	NA	menuri1
Atrichornis rufescens	Rufous Scrub-bird	rusbir1	species	17191	RUSB RUSC RSBI	ATRU	NA	Passeriformes	Scrub-birds	Atrichornithidae	NA	NA	NA	atrich1
Atrichornis clamosus	Noisy Scrub-bird	nosbir1	species	17194	NSBI NOSB NOSC	ATCL	NA	Passeriformes	Scrub-birds	Atrichornithidae	NA	NA	NA	atrich1
Ailuroedus buccoides	White-eared Catbird	whecat1	species	17196	WECA	AIBU	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus stonii	Ochre-breasted Catbird	ocbcat1	species	17197	WECA OBCA	AIST	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus geislerorum	Tan-capped Catbird	taccat1	species	17200	WECA TCCA	AIGE	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus maculosus	Spotted Catbird	spocat2	species	17203	SPCA BECA	AIMA	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus astigmaticus	Huon Catbird	huocat1	species	17204	HUCA BECA	AIAS	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus melanocephalus	Black-capped Catbird	bkccat1	species	17205	BCCA BECA	AIME	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus jobiensis	Northern Catbird	norcat1	species	17206	BECA NOCA	AIJO	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus arfakianus	Arfak Catbird	arfcat1	species	17207	ARCA BECA	AIAR	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus melanotis	Black-eared Catbird	spocat1	species	17210	BECA	AIME	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus crassirostris	Green Catbird	grecat1	species	17214	GRCA	AICR	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ailuroedus sp.	australasian catbird sp.	auscat1	spuh	17215	NA	NA	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Scenopoeetes dentirostris	Tooth-billed Bowerbird	tobcat2	species	17216	TBBO	SCDE	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Archboldia papuensis	Archbold's Bowerbird	arcbow1	species	17217	ARBO	ARPA	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Amblyornis inornata	Vogelkop Bowerbird	vogbow2	species	17220	VOBO	AMIN	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Amblyornis macgregoriae	MacGregor's Bowerbird	macbow2	species	17221	MABO	AMMA	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Amblyornis subalaris	Streaked Bowerbird	strbow1	species	17228	STBO	AMSU	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Amblyornis flavifrons	Golden-fronted Bowerbird	gofbow1	species	17229	GFBO	AMFL	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Prionodura newtoniana	Golden Bowerbird	golbow1	species	17230	GOBO	PRNE	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Sericulus aureus	Masked Bowerbird	flabow3	species	17231	MABO	SEAU	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Sericulus ardens	Flame Bowerbird	flabow2	species	17232	FLBO	SEAR	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Sericulus bakeri	Fire-maned Bowerbird	fimbow1	species	17233	FMBO	SEBA	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Sericulus chrysocephalus	Regent Bowerbird	regbow1	species	17234	REBO	SECH	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Ptilonorhynchus violaceus	Satin Bowerbird	satbow1	species	17235	SABO	PTVI	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Sericulus chrysocephalus x Ptilonorhynchus violaceus	Regent x Satin Bowerbird (hybrid)	x00961	hybrid	17238	SABO REBO	SECH PTVI	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Chlamydera guttata	Western Bowerbird	wesbow1	species	17239	WEBO	CHGU	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Chlamydera maculata	Spotted Bowerbird	spobow1	species	17242	SPBO	CHMA	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Chlamydera nuchalis	Great Bowerbird	grebow1	species	17243	GRBO	CHNU	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Chlamydera lauterbachi	Yellow-breasted Bowerbird	yebbow1	species	17246	YBBO	CHLA	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Chlamydera cerviniventris	Fawn-breasted Bowerbird	fabbow1	species	17249	FBBO	CHCE	NA	Passeriformes	Bowerbirds	Ptilonorhynchidae	NA	NA	NA	ptilon1
Cormobates placens	Papuan Treecreeper	paptre1	species	17251	PATR	COPL	NA	Passeriformes	Australasian Treecreepers	Climacteridae	NA	NA	NA	climac1
Cormobates leucophaea	White-throated Treecreeper	whttre3	species	17256	WTTR	COLE	NA	Passeriformes	Australasian Treecreepers	Climacteridae	NA	NA	NA	climac1
Cormobates leucophaea minor	White-throated Treecreeper (Little)	whttre1	issf	17257	WTTR	COLE	NA	Passeriformes	Australasian Treecreepers	Climacteridae	whttre3	NA	NA	climac1
Cormobates leucophaea [leucophaea Group]	White-throated Treecreeper (White-throated)	whttre4	issf	17258	WTTR	COLE	NA	Passeriformes	Australasian Treecreepers	Climacteridae	whttre3	NA	NA	climac1
Climacteris affinis	White-browed Treecreeper	whbtre2	species	17263	WBTR	CLAF	NA	Passeriformes	Australasian Treecreepers	Climacteridae	NA	NA	NA	climac1
Climacteris erythrops	Red-browed Treecreeper	rebtre1	species	17266	RBTR	CLER	NA	Passeriformes	Australasian Treecreepers	Climacteridae	NA	NA	NA	climac1
Climacteris picumnus	Brown Treecreeper	brotre2	species	17267	BRTR ABTR	CLPI	NA	Passeriformes	Australasian Treecreepers	Climacteridae	NA	NA	NA	climac1
Climacteris melanurus	Black-tailed Treecreeper	bkttre1	species	17271	BTTR	CLME	NA	Passeriformes	Australasian Treecreepers	Climacteridae	NA	NA	NA	climac1
Climacteris rufus	Rufous Treecreeper	ruftre3	species	17274	RUTR	CLRU	NA	Passeriformes	Australasian Treecreepers	Climacteridae	NA	NA	NA	climac1
Climacteridae sp.	australian treecreeper sp.	austre1	spuh	17275	NA	NA	NA	Passeriformes	Australasian Treecreepers	Climacteridae	NA	NA	NA	climac1
Amytornis barbatus	Gray Grasswren	grygra1	species	17277	GRGR	AMBA	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis whitei	Rufous Grasswren	rufgra1	species	17280	RUGR STGR	AMWH	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis whitei whitei	Rufous Grasswren (Pilbara)	strgra4	issf	17281	RUGR STGR	AMWH	NA	Passeriformes	Fairywrens	Maluridae	rufgra1	NA	NA	maluri1
Amytornis whitei oweni	Rufous Grasswren (Sandhill)	sangra1	issf	17282	RUGR STGR	AMWH	NA	Passeriformes	Fairywrens	Maluridae	rufgra1	NA	NA	maluri1
Amytornis rowleyi	Opalton Grasswren	rusgra1	species	17283	OPGR STGR	AMRO	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis striatus	Striated Grasswren	strgra2	species	17284	STGR	AMST	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis woodwardi	White-throated Grasswren	whtgra1	species	17285	WTGR	AMWO	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis dorotheae	Carpentarian Grasswren	cargra2	species	17286	CAGR	AMDO	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis merrotsyi	Short-tailed Grasswren	shtgra1	species	17287	STGR	AMME	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis textilis	Western Grasswren	thbgra1	species	17288	WEGR	AMTE	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis textilis textilis	Western Grasswren (Western)	thbgra2	issf	17289	WEGR	AMTE	NA	Passeriformes	Fairywrens	Maluridae	thbgra1	NA	NA	maluri1
Amytornis textilis myall	Western Grasswren (Gawler Ranges)	thbgra3	issf	17290	WEGR	AMTE	NA	Passeriformes	Fairywrens	Maluridae	thbgra1	NA	NA	maluri1
Amytornis modestus	Thick-billed Grasswren	thbgra4	species	17291	TBGR	AMMO	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis housei	Black Grasswren	blagra1	species	17299	BLGR	AMHO	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis goyderi	Eyrean Grasswren	eyrgra1	species	17300	EYGR	AMGO	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis purnelli	Dusky Grasswren	dusgra1	species	17301	DUGR	AMPU	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Amytornis ballarae	Kalkadoon Grasswren	kalgra1	species	17302	KAGR	AMBA	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Stipiturus malachurus	Southern Emuwren	souemu1	species	17303	SOEW SOEM SEWR	STMA	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Stipiturus ruficeps	Rufous-crowned Emuwren	rucemu1	species	17312	RCEW RCEM	STRU	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Stipiturus mallee	Mallee Emuwren	malemu1	species	17313	MAEW MEWR MAEM	STMA	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Sipodotus wallacii	Wallace's Fairywren	walfai1	species	17314	WAFA WFWR WAFW	SIWA	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Clytomyias insignis	Orange-crowned Fairywren	orcfai1	species	17315	OCFW OCFA	CLIN	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Chenorhamphus grayi	Broad-billed Fairywren	brbfai1	species	17318	BBFA BBFW	CHGR	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Chenorhamphus campbelli	Campbell's Fairywren	brbfai2	species	17319	BBFW CAFA	CHCA	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus cyanocephalus	Emperor Fairywren	empfai1	species	17320	EFWR EMFW EMFA	MACY	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus coronatus	Purple-crowned Fairywren	pucfai2	species	17324	PCFW PCFA	MACO	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus elegans	Red-winged Fairywren	rewfai1	species	17327	RWFW RWFA	MAEL	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus pulcherrimus	Blue-breasted Fairywren	blbfai1	species	17328	BBFA BBFW	MAPU	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus assimilis	Purple-backed Fairywren	varfai1	species	17329	PBFA	MAAS	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus assimilis dulcis/rogersi	Purple-backed Fairywren (Lavender-flanked)	varfai2	issf	17330	PBFA	MAAS	NA	Passeriformes	Fairywrens	Maluridae	varfai1	NA	NA	maluri1
Malurus assimilis assimilis/bernieri	Purple-backed Fairywren (Purple-backed)	varfai3	issf	17333	PBFA	MAAS	NA	Passeriformes	Fairywrens	Maluridae	varfai1	NA	NA	maluri1
Malurus lamberti	Variegated Fairywren	varfai5	species	17336	VAFA	MALA	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus assimilis/lamberti	Purple-backed/Variegated Fairywren	y01109	slash	17337	PBFA VAFA	MAAS MALA	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus amabilis	Lovely Fairywren	lovfai1	species	17338	LOFA LFWR LOFW	MAAM	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus splendens	Splendid Fairywren	splfai1	species	17339	SPFW SFWR SPFA	MASP	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus cyaneus	Superb Fairywren	supfai1	species	17344	SUFW SFWR SUFA	MACY	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus leucopterus	White-winged Fairywren	whwfai1	species	17351	WWFW WWFA	MALE	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus leucopterus leuconotus	White-winged Fairywren (Blue-and-white)	whwfai2	issf	17352	WWFW WWFA	MALE	NA	Passeriformes	Fairywrens	Maluridae	whwfai1	NA	NA	maluri1
Malurus leucopterus leucopterus/edouardi	White-winged Fairywren (Black-and-white)	whwfai3	issf	17353	WWFW WWFA	MALE	NA	Passeriformes	Fairywrens	Maluridae	whwfai1	NA	NA	maluri1
Malurus cyaneus x leucopterus	Superb x White-winged Fairywren (hybrid)	x00409	hybrid	17356	SFWR WWFW SUFA WWFA SUFW	MACY MALE	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus melanocephalus	Red-backed Fairywren	rebfai1	species	17357	RBFA RBFW	MAME	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus cyaneus x melanocephalus	Superb x Red-backed Fairywren (hybrid)	x00410	hybrid	17360	SFWR SUFA SUFW RBFA RBFW	MACY MAME	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
Malurus alboscapulatus	White-shouldered Fairywren	whsfai1	species	17361	WSFW WSFA	MAAL	NA	Passeriformes	Fairywrens	Maluridae	NA	NA	NA	maluri1
